County,State,fips,Latitude,Longitude,Confirmed Cases
Clark,NEVADA,32003,36.3467726,-115.0907378,5144
Washoe,NEVADA,32031,40.5849048,-119.6131606,1154
Humboldt,NEVADA,32013,41.429394,-118.2024818,71
Carson,NEVADA,32510,37.8690742,-107.36202981593104,63
Nye,NEVADA,32023,38.3544843,-116.4069616,49
Lyon,NEVADA,32019,38.9887898,-119.1822042,46
Douglas,NEVADA,32005,38.9072611,-119.6201824,24
Lander,NEVADA,32015,39.9059878,-116.9843374,19
Elko,NEVADA,32007,41.1958128,-115.3272864,18
Churchill,NEVADA,32001,39.6136309,-118.4191948,5
Mineral,NEVADA,32021,38.4815162,-118.498262,4
White,NEVADA,None,35.0774139,-91.889023,3
Lincoln,NEVADA,32017,37.5449476,-114.8764448,2
White Pine,NEVADA,32033,39.5298185,-114.8899563,1
