County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Los Angeles,CALIFORNIA,06037,34.0536909, -118.2427666,35329,1709,0
Riverside,CALIFORNIA,06065,33.9533546, -117.3961623,5440,235,3254
San Diego,CALIFORNIA,06073,32.7174209, -117.1627714,5391,200,0
Orange,CALIFORNIA,06059,33.7500378, -117.8704931,3968,80,0
San Bernardino,CALIFORNIA,06071,34.8253019, -116.0833144,3198,139,0
Santa Clara,CALIFORNIA,06085,37.2333253, -121.6846349,2391,134,0
Alameda,CALIFORNIA,06001,37.787366, -122.295797,2234,79,0
San Francisco,CALIFORNIA,06075,37.7790262, -122.4199061,1999,35,0
San Mateo,CALIFORNIA,06081,37.496904, -122.3330573,1536,65,0
Kern,CALIFORNIA,06029,35.3145701, -118.7538222,1393,21,919
Santa Barbara,CALIFORNIA,06083,34.4221319, -119.7026673,1387,11,496
Tulare,CALIFORNIA,06107,36.2516475, -118.852583,1295,54,342
Sacramento,CALIFORNIA,06067,38.5810606, -121.4938951,1183,54,1021
Contra Costa,CALIFORNIA,06013,37.9034806, -121.9175345,1089,33,0
Fresno,CALIFORNIA,06019,36.7295295, -119.7088613,1074,13,365
Ventura,CALIFORNIA,06111,34.4458248, -119.0779359,748,25,0
Imperial,CALIFORNIA,06025,33.0305487, -115.3595666,712,15,319
San Joaquin,CALIFORNIA,06077,37.9372901, -121.2773719,644,31,511
Stanislaus,CALIFORNIA,06099,37.5500871, -121.0501425,537,23,392
Solano,CALIFORNIA,06095,38.2218938, -121.9163555,408,14,0
Kings,CALIFORNIA,06031,36.0784807, -119.7956342,358,1,106
Sonoma,CALIFORNIA,06097,38.5110803, -122.8473388,337,4,200
Monterey,CALIFORNIA,06053,36.2231079, -121.3877428,317,6,158
Marin,CALIFORNIA,06041,38.0409144, -122.6199638,279,14,223
San Luis Obispo,CALIFORNIA,06079,35.3540209, -120.3757163,237,1,191
Merced,CALIFORNIA,06047,37.1641544, -120.7678602,189,4,120
Yolo,CALIFORNIA,06113,38.7184542, -121.9059001,182,22,0
Placer,CALIFORNIA,06061,39.1012064, -120.7650606,172,8,0
Santa Cruz,CALIFORNIA,06087,37.050096, -121.9905908,149,2,120
Napa,CALIFORNIA,06055,38.2971367, -122.2855293,83,3,42
Madera,CALIFORNIA,06039,37.1716264, -119.7737991,69,2,45
Humboldt,CALIFORNIA,06023,40.5997415, -123.8997734,68,0,53
El Dorado,CALIFORNIA,06017,38.7574137, -120.5276129,62,0,51
San Benito,CALIFORNIA,06069,36.6248089, -121.1177379,59,2,53
Nevada,CALIFORNIA,06057,39.3540335, -120.8089843,41,1,40
Sutter,CALIFORNIA,06101,38.9509675, -121.697088,37,2,29
Mono,CALIFORNIA,06051,37.9533927, -118.9398758,33,1,0
Shasta,CALIFORNIA,06089,40.7965121, -121.9979194,33,4,27
Yuba,CALIFORNIA,06115,39.2839755, -121.3556818,25,1,17
Butte,CALIFORNIA,06007,39.6519275, -121.5858444,22,0,18
Inyo,CALIFORNIA,06027,36.5595325, -117.4074712,19,1,15
Mariposa,CALIFORNIA,06043,37.570148, -119.9036592,15,0,14
Calaveras,CALIFORNIA,06009,38.2558181, -120.4981492,13,0,13
Mendocino,CALIFORNIA,06045,39.3176491, -123.4126399,13,0,12
Amador,CALIFORNIA,06005,38.449089, -120.5911018,9,0,8
Glenn,CALIFORNIA,06021,39.5912766, -122.3778662,9,0,5
Lake,CALIFORNIA,06033,36.7014631, -118.7559974,8,0,8
Siskiyou,CALIFORNIA,06093,41.5007223, -122.5443541,5,0,5
Del Norte,CALIFORNIA,06015,41.7261767, -123.91328,4,0,3
Plumas,CALIFORNIA,06063,39.9430988, -120.8059521,4,0,4
Colusa,CALIFORNIA,06011,39.1465578, -122.2209563,3,0,0
Tuolumne,CALIFORNIA,06109,38.056944, -119.9919351,2,0,2
Alpine,CALIFORNIA,06003,38.5893934, -119.8345013,1,0,1
Tehama,CALIFORNIA,06103,40.1251334, -122.2015529,1,1,0
Trinity,CALIFORNIA,06105,40.6053256, -123.171268,1,0,0
Lassen,CALIFORNIA,06035,40.7685579, -120.730998,0,0,0
Modoc,CALIFORNIA,06049,34.0874702, -118.2600335,0,0,0
Sierra,CALIFORNIA,06091,39.5849065, -120.5305731,0,0,0
