County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Adams,WASHINGTON,53001,46.9723633, -118.5934644,49,0
Asotin,WASHINGTON,53003,46.1678079, -117.2045179,18,2
Benton,WASHINGTON,53005,46.1691702, -119.5286424,548,46
Chelan,WASHINGTON,53007,47.8012197, -120.6276904,137,5
Clallam,WASHINGTON,53009,47.9998383, -123.7373472,19,0
Clark,WASHINGTON,53011,45.7669047, -122.4940866,341,20
Columbia,WASHINGTON,53013,46.2947665, -117.9174697,1,0
Cowlitz,WASHINGTON,53015,46.1998625, -122.6931507,62,0
Douglas,WASHINGTON,53017,47.7652709, -119.6075365,95,2
Ferry,WASHINGTON,53019,48.4736934, -118.4834362,1,0
Franklin,WASHINGTON,53021,46.5654696, -118.8935483,387,14
Garfield,WASHINGTON,53023,46.4604687, -117.5294769,0,0
Grant,WASHINGTON,53025,47.119015, -119.4904332,179,3
Grays Harbor,WASHINGTON,53027,47.1744169, -123.8658829,12,0
Island,WASHINGTON,53029,48.2162669, -122.6842402,172,9
Jefferson,WASHINGTON,53031,47.7325289, -123.6328565,28,0
King,WASHINGTON,53033,47.4873376, -121.8622122,6704,474
Kitsap,WASHINGTON,53035,47.594502, -122.6474421,151,2
Kittitas,WASHINGTON,53037,47.1057471, -120.5849305,15,0
Klickitat,WASHINGTON,53039,45.8767731, -120.7976033,18,3
Lewis,WASHINGTON,53041,46.5612011, -122.4225561,29,3
Lincoln,WASHINGTON,53043,47.5664588, -118.3588615,2,0
Mason,WASHINGTON,53045,47.3429635, -123.1822758,26,1
Okanogan,WASHINGTON,53047,48.361262, -119.5833869,21,1
Pacific,WASHINGTON,53049,46.5334929, -123.768029,4,0
Pend Oreille,WASHINGTON,53051,48.5188671, -117.2778631,2,0
Pierce,WASHINGTON,53053,47.0022547, -122.2117983,1454,52
San Juan,WASHINGTON,53055,48.5443087, -122.9919497,14,0
Skagit,WASHINGTON,53057,48.4596092, -121.7332784,379,13
Skamania,WASHINGTON,53059,45.966211, -121.9278867,3,0
Snohomish,WASHINGTON,53061,48.0074736, -121.7304882,2584,112
Spokane,WASHINGTON,53063,47.5354964, -117.4074674,379,24
Stevens,WASHINGTON,53065,48.4249969, -117.8489411,9,1
Thurston,WASHINGTON,53067,46.9319983, -122.8855155,116,1
Wahkiakum,WASHINGTON,53069,46.2794223, -123.3452562,2,0
Walla Walla,WASHINGTON,53071,46.2055155, -118.5174284,96,0
Whatcom,WASHINGTON,53073,48.8107819, -121.8828175,324,30
Whitman,WASHINGTON,53075,46.9428831, -117.5286172,14,0
Yakima,WASHINGTON,53077,46.4135961, -120.730253,1449,52
Unassigned,WASHINGTON,53,38.8949855,-77.0365708,61,0
