County,State,fips,Latitude,Longitude,Confirmed Cases
Belknap,NEW HAMPSHIRE,33001,43.5218848,-71.4530581,33
Carroll,NEW HAMPSHIRE,33003,43.8778199,-71.2740836,31
Cheshire,NEW HAMPSHIRE,33005,42.9525022,-72.2834412,40
Coos,NEW HAMPSHIRE,33007,44.698627,-71.3768039,2
Grafton,NEW HAMPSHIRE,33009,43.9702453,-71.8742626,48
Hillsborough,NEW HAMPSHIRE,33011,42.9373379,-71.751376,931
Merrimack,NEW HAMPSHIRE,33013,43.3260376,-71.6854725,145
Rockingham,NEW HAMPSHIRE,33015,42.9966675,-71.1003143,670
Strafford,NEW HAMPSHIRE,33017,43.3312505,-71.0399927,139
Sullivan,NEW HAMPSHIRE,33019,43.3564357,-72.2392517,11
