County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Adams,NORTH DAKOTA,38001,46.073286, -102.5315028,0,0,0
Barnes,NORTH DAKOTA,38003,46.9310489, -98.0678849,4,0,3
Benson,NORTH DAKOTA,38005,48.0191362, -99.403103,2,0,0
Billings,NORTH DAKOTA,38007,47.0456305, -103.3943708,0,0,0
Bottineau,NORTH DAKOTA,38009,48.8243455, -100.8431321,0,0,0
Bowman,NORTH DAKOTA,38011,46.1010498, -103.5086625,1,0,1
Burke,NORTH DAKOTA,38013,48.7882181, -102.5295867,5,0,4
Burleigh,NORTH DAKOTA,38015,46.9498874, -100.5127667,105,0,56
Cass,NORTH DAKOTA,38017,46.9241972, -97.220631,866,0,480
Cavalier,NORTH DAKOTA,38019,48.7664381, -98.5001391,0,0,0
Dickey,NORTH DAKOTA,38021,46.0952757, -98.5322728,0,0,0
Divide,NORTH DAKOTA,38023,48.8189219, -103.5180387,1,0,1
Dunn,NORTH DAKOTA,38025,47.30612, -102.6112348,11,0,10
Eddy,NORTH DAKOTA,38027,47.7113958, -98.9087265,2,0,1
Emmons,NORTH DAKOTA,38029,46.2575403, -100.2574942,1,0,0
Foster,NORTH DAKOTA,38031,47.4642277, -98.8815333,1,0,1
Golden Valley,NORTH DAKOTA,38033,46.9317944, -103.8668414,0,0,0
Grand Forks,NORTH DAKOTA,38035,47.9090529, -97.4800435,293,0,135
Grant,NORTH DAKOTA,38037,46.3441037, -101.6261837,2,0,1
Griggs,NORTH DAKOTA,38039,47.4473179, -98.2616158,0,0,0
Hettinger,NORTH DAKOTA,38041,46.4448014, -102.4167046,0,0,0
Kidder,NORTH DAKOTA,38043,46.9636218, -99.7952675,0,0,0
LaMoure,NORTH DAKOTA,38045,46.4473745, -98.534574,0,0,0
Logan,NORTH DAKOTA,38047,46.4650338, -99.4501721,0,0,0
McHenry,NORTH DAKOTA,38049,48.1907427, -100.65378,2,0,0
McIntosh,NORTH DAKOTA,38051,46.1097938, -99.4243411,1,0,1
McKenzie,NORTH DAKOTA,38053,47.7702536, -103.4734684,15,0,12
McLean,NORTH DAKOTA,38055,47.6002156, -101.1719782,5,0,4
Mercer,NORTH DAKOTA,38057,47.3347663, -101.8650031,4,0,2
Morton,NORTH DAKOTA,38059,46.7244733, -101.1644543,37,0,17
Mountrail,NORTH DAKOTA,38061,48.230321, -102.3603325,37,0,34
Nelson,NORTH DAKOTA,38063,47.8852229, -98.1774434,1,0,1
Oliver,NORTH DAKOTA,38065,47.1077709, -101.3524486,1,0,1
Pembina,NORTH DAKOTA,38067,48.7530787, -97.5532833,6,0,3
Pierce,NORTH DAKOTA,38069,48.1957108, -100.0625504,3,0,2
Ramsey,NORTH DAKOTA,38071,48.2426199, -98.7062419,7,0,3
Ransom,NORTH DAKOTA,38073,46.4519081, -97.6903091,3,0,0
Renville,NORTH DAKOTA,38075,48.6579169, -101.7009103,1,0,1
Richland,NORTH DAKOTA,38077,46.2247251, -96.9470748,8,0,7
Rolette,NORTH DAKOTA,38079,48.7419695, -99.8380336,3,0,1
Sargent,NORTH DAKOTA,38081,46.1101793, -97.6291809,3,0,1
Sheridan,NORTH DAKOTA,38083,47.5321614, -100.367913,0,0,0
Sioux,NORTH DAKOTA,38085,46.0654725, -100.978187,1,0,1
Slope,NORTH DAKOTA,38087,46.4464651, -103.4507022,3,0,3
Stark,NORTH DAKOTA,38089,46.7870161, -102.7338349,61,0,46
Steele,NORTH DAKOTA,38091,47.4413054, -97.7450372,0,0,0
Stutsman,NORTH DAKOTA,38093,46.9596318, -98.9742609,16,0,5
Towner,NORTH DAKOTA,38095,48.6481504, -99.2322581,0,0,0
Traill,NORTH DAKOTA,38097,47.4438504, -97.1797001,1,0,0
Walsh,NORTH DAKOTA,38099,48.3693784, -97.7469943,8,0,6
Ward,NORTH DAKOTA,38101,48.2488309, -101.6242607,28,0,20
Wells,NORTH DAKOTA,38103,47.5664224, -99.6508819,2,0,2
Williams,NORTH DAKOTA,38105,48.3629861, -103.4958386,20,0,11
