County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Autauga,ALABAMA,01001,32.5165255, -86.6319403,272,5
Baldwin,ALABAMA,01003,30.5677527, -87.7324392,320,9
Barbour,ALABAMA,01005,31.8589311, -85.4032078,197,1
Bibb,ALABAMA,01007,32.971079, -87.1227088,79,1
Blount,ALABAMA,01009,33.9510169, -86.5702002,73,1
Bullock,ALABAMA,01011,32.09929, -85.7091657,238,8
Butler,ALABAMA,01013,32.0895908, -88.2219652,455,24
Calhoun,ALABAMA,01015,33.7514505, -85.8315666,178,3
Chambers,ALABAMA,01017,32.8901658, -85.3866953,383,26
Cherokee,ALABAMA,01019,34.1142554, -85.6004514,42,4
Chilton,ALABAMA,01021,32.8522565, -86.7032845,111,2
Choctaw,ALABAMA,01023,31.9908095, -88.2821326,156,10
Clarke,ALABAMA,01025,31.659134, -87.8192486,158,3
Clay,ALABAMA,01027,33.715158, -86.5866694,29,2
Cleburne,ALABAMA,01029,33.6506958, -85.5017359,19,1
Coffee,ALABAMA,01031,31.3629619, -85.9870669,248,1
Colbert,ALABAMA,01033,34.6473396, -87.7921769,212,4
Conecuh,ALABAMA,01035,31.3966783, -86.9437104,52,1
Coosa,ALABAMA,01037,32.9181762, -86.2327497,40,1
Covington,ALABAMA,01039,31.196549, -86.4597236,88,1
Crenshaw,ALABAMA,01041,31.6809362, -86.3244009,88,3
Cullman,ALABAMA,01043,34.1335332, -86.8779268,199,1
Dale,ALABAMA,01045,31.3940969, -85.623763,135,0
Dallas,ALABAMA,01047,32.3117968, -87.1046643,339,4
DeKalb,ALABAMA,01049,34.4524349, -85.7662118,272,3
Elmore,ALABAMA,01051,32.5801231, -86.125195,427,10
Escambia,ALABAMA,01053,31.1168422, -87.1070947,88,3
Etowah,ALABAMA,01055,34.0371404, -86.022147,276,12
Fayette,ALABAMA,01057,33.7303493, -87.7419088,19,0
Franklin,ALABAMA,01059,34.440962, -87.8339064,625,10
Geneva,ALABAMA,01061,31.0862933, -85.803014,46,0
Greene,ALABAMA,01063,32.8620514, -87.9915392,99,5
Hale,ALABAMA,01065,32.7412417, -87.6561668,207,11
Henry,ALABAMA,01067,31.4838041, -85.2447377,89,2
Houston,ALABAMA,01069,31.1355603, -85.2654592,246,5
Jackson,ALABAMA,01071,34.7692447, -85.9867941,94,3
Jefferson,ALABAMA,01073,33.5228184, -86.9164513,2078,109
Lamar,ALABAMA,01075,33.7490016, -88.1003689,29,0
Lauderdale,ALABAMA,01077,34.9049555, -87.6747398,188,3
Lawrence,ALABAMA,01079,34.4776367, -87.3017331,55,0
Lee,ALABAMA,01081,32.5814796, -85.3077038,594,34
Limestone,ALABAMA,01083,34.8342463, -86.9901321,135,0
Lowndes,ALABAMA,01085,32.1088066, -86.6402541,290,13
Macon,ALABAMA,01087,32.366606, -85.6660307,100,5
Madison,ALABAMA,01089,34.7736807, -86.5675095,386,5
Marengo,ALABAMA,01091,32.201002, -87.7569365,187,6
Marion,ALABAMA,01093,34.1128132, -87.8544031,126,11
Marshall,ALABAMA,01095,34.3396046, -86.3301801,744,9
Mobile,ALABAMA,01097,30.6943566, -88.0430541,2461,124
Monroe,ALABAMA,01099,31.5593935, -87.3781004,62,2
Montgomery,ALABAMA,01101,32.3669656, -86.3006485,2128,54
Morgan,ALABAMA,01103,34.4296848, -86.8529584,395,1
Perry,ALABAMA,01105,32.6421387, -87.2876639,50,0
Pickens,ALABAMA,01107,33.2948421, -88.1244034,124,6
Pike,ALABAMA,01109,33.2588817, -86.8295337,250,1
Randolph,ALABAMA,01111,33.2651763, -85.4693961,132,8
Russell,ALABAMA,01113,32.2698458, -85.1959487,212,0
St. Clair,ALABAMA,01115,33.7086407, -86.3364,141,2
Shelby,ALABAMA,01117,33.2503347, -86.6639746,554,19
Sumter,ALABAMA,01119,32.5234698, -88.1837986,247,9
Talladega,ALABAMA,01121,33.3967079, -86.1597137,134,5
Tallapoosa,ALABAMA,01123,32.8595687, -85.8023774,446,67
Tuscaloosa,ALABAMA,01125,33.2095614, -87.5675258,936,23
Walker,ALABAMA,01127,33.7804491, -87.2767248,460,5
Washington,ALABAMA,01129,31.3991238, -88.2019828,79,6
Wilcox,ALABAMA,01131,31.9523021, -87.3005169,173,7
Winston,ALABAMA,01133,34.1328863, -87.361354,95,0
Unknown or Out of State,ALABAMA,None,32.75041, -86.75026,0,0
